date,series_name,value
2012-01-01,ibc_br,97.31769
2012-01-01,ipca_12m,6.22
2012-01-01,selic,10.7
2012-01-01,unemployment,NA
2012-01-01,usd_brl,1.7391
2012-02-01,ibc_br,98.27976
2012-02-01,ipca_12m,5.84
2012-02-01,selic,10.4
2012-02-01,unemployment,NA
2012-02-01,usd_brl,1.7092
2012-03-01,ibc_br,98.03021
2012-03-01,ipca_12m,5.24
2012-03-01,selic,9.82
2012-03-01,unemployment,8
2012-03-01,usd_brl,1.8221
2012-04-01,ibc_br,98.40808
2012-04-01,ipca_12m,5.1
2012-04-01,selic,9.35
2012-04-01,unemployment,7.8
2012-04-01,usd_brl,1.8918
2012-05-01,ibc_br,99.62926
2012-05-01,ipca_12m,4.99
2012-05-01,selic,8.87
2012-05-01,unemployment,7.7
2012-05-01,usd_brl,2.0223
2012-06-01,ibc_br,100.33459
2012-06-01,ipca_12m,4.92
2012-06-01,selic,8.39
2012-06-01,unemployment,7.6
2012-06-01,usd_brl,2.0213
2012-07-01,ibc_br,100.51519
2012-07-01,ipca_12m,5.2
2012-07-01,selic,8.07
2012-07-01,unemployment,7.5
2012-07-01,usd_brl,2.0499
2012-08-01,ibc_br,100.83894
2012-08-01,ipca_12m,5.24
2012-08-01,selic,7.85
2012-08-01,unemployment,7.3
2012-08-01,usd_brl,2.0372
2012-09-01,ibc_br,100.43664
2012-09-01,ipca_12m,5.28
2012-09-01,selic,7.39
2012-09-01,unemployment,7.1
2012-09-01,usd_brl,2.0306
2012-10-01,ibc_br,101.26344
2012-10-01,ipca_12m,5.45
2012-10-01,selic,7.23
2012-10-01,unemployment,6.9
2012-10-01,usd_brl,2.0313
2012-11-01,ibc_br,101.11435
2012-11-01,ipca_12m,5.53
2012-11-01,selic,7.14
2012-11-01,unemployment,6.8
2012-11-01,usd_brl,2.1074
2012-12-01,ibc_br,100.69047
2012-12-01,ipca_12m,5.84
2012-12-01,selic,7.16
2012-12-01,unemployment,6.9
2012-12-01,usd_brl,2.0435
2013-01-01,ibc_br,101.32972
2013-01-01,ipca_12m,6.15
2013-01-01,selic,7.11
2013-01-01,unemployment,7.2
2013-01-01,usd_brl,1.9883
2013-02-01,ibc_br,100.36083000000001
2013-02-01,ipca_12m,6.31
2013-02-01,selic,7.12
2013-02-01,unemployment,7.8
2013-02-01,usd_brl,1.9754
2013-03-01,ibc_br,101.36642
2013-03-01,ipca_12m,6.59
2013-03-01,selic,7.15
2013-03-01,unemployment,8
2013-03-01,usd_brl,2.0138
2013-04-01,ibc_br,102.43924
2013-04-01,ipca_12m,6.49
2013-04-01,selic,7.26
2013-04-01,unemployment,7.9
2013-04-01,usd_brl,2.0017
2013-05-01,ibc_br,102.64346
2013-05-01,ipca_12m,6.5
2013-05-01,selic,7.42
2013-05-01,unemployment,7.6
2013-05-01,usd_brl,2.1319
2013-06-01,ibc_br,102.30127
2013-06-01,ipca_12m,6.7
2013-06-01,selic,7.9
2013-06-01,unemployment,7.5
2013-06-01,usd_brl,2.2156
2013-07-01,ibc_br,102.67476
2013-07-01,ipca_12m,6.27
2013-07-01,selic,8.23
2013-07-01,unemployment,7.4
2013-07-01,usd_brl,2.2903
2013-08-01,ibc_br,102.96833
2013-08-01,ipca_12m,6.09
2013-08-01,selic,8.45
2013-08-01,unemployment,7.2
2013-08-01,usd_brl,2.3725
2013-09-01,ibc_br,103.47897
2013-09-01,ipca_12m,5.86
2013-09-01,selic,8.9
2013-09-01,unemployment,7
2013-09-01,usd_brl,2.23
2013-10-01,ibc_br,103.42321
2013-10-01,ipca_12m,5.84
2013-10-01,selic,9.25
2013-10-01,unemployment,6.8
2013-10-01,usd_brl,2.2026
2013-11-01,ibc_br,103.7073
2013-11-01,ipca_12m,5.77
2013-11-01,selic,9.45
2013-11-01,unemployment,6.5
2013-11-01,usd_brl,2.3249
2013-12-01,ibc_br,103.97918
2013-12-01,ipca_12m,5.91
2013-12-01,selic,9.9
2013-12-01,unemployment,6.2
2013-12-01,usd_brl,2.3426
2014-01-01,ibc_br,103.66363
2014-01-01,ipca_12m,5.59
2014-01-01,selic,10.17
2014-01-01,unemployment,6.5
2014-01-01,usd_brl,2.4263
2014-02-01,ibc_br,103.36348
2014-02-01,ipca_12m,5.68
2014-02-01,selic,10.43
2014-02-01,unemployment,6.8
2014-02-01,usd_brl,2.3334
2014-03-01,ibc_br,103.25497
2014-03-01,ipca_12m,6.15
2014-03-01,selic,10.65
2014-03-01,unemployment,7.2
2014-03-01,usd_brl,2.263
2014-04-01,ibc_br,102.8098
2014-04-01,ipca_12m,6.28
2014-04-01,selic,10.87
2014-04-01,unemployment,7.2
2014-04-01,usd_brl,2.236
2014-05-01,ibc_br,102.44189
2014-05-01,ipca_12m,6.37
2014-05-01,selic,10.9
2014-05-01,unemployment,7
2014-05-01,usd_brl,2.239
2014-06-01,ibc_br,100.26245
2014-06-01,ipca_12m,6.52
2014-06-01,selic,10.9
2014-06-01,unemployment,6.9
2014-06-01,usd_brl,2.2025
2014-07-01,ibc_br,101.05323
2014-07-01,ipca_12m,6.5
2014-07-01,selic,10.9
2014-07-01,unemployment,7
2014-07-01,usd_brl,2.2674
2014-08-01,ibc_br,101.90641
2014-08-01,ipca_12m,6.51
2014-08-01,selic,10.9
2014-08-01,unemployment,7
2014-08-01,usd_brl,2.2396
2014-09-01,ibc_br,102.46497
2014-09-01,ipca_12m,6.75
2014-09-01,selic,10.9
2014-09-01,unemployment,6.8
2014-09-01,usd_brl,2.451
2014-10-01,ibc_br,101.5904
2014-10-01,ipca_12m,6.59
2014-10-01,selic,10.92
2014-10-01,unemployment,6.7
2014-10-01,usd_brl,2.4442
2014-11-01,ibc_br,101.77255
2014-11-01,ipca_12m,6.56
2014-11-01,selic,11.15
2014-11-01,unemployment,6.6
2014-11-01,usd_brl,2.5601
2014-12-01,ibc_br,102.13347
2014-12-01,ipca_12m,6.41
2014-12-01,selic,11.58
2014-12-01,unemployment,6.6
2014-12-01,usd_brl,2.6562
2015-01-01,ibc_br,101.2904
2015-01-01,ipca_12m,7.14
2015-01-01,selic,11.82
2015-01-01,unemployment,6.9
2015-01-01,usd_brl,2.6623
2015-02-01,ibc_br,100.65345
2015-02-01,ipca_12m,7.7
2015-02-01,selic,12.15
2015-02-01,unemployment,7.5
2015-02-01,usd_brl,2.8782
2015-03-01,ibc_br,100.46173
2015-03-01,ipca_12m,8.13
2015-03-01,selic,12.58
2015-03-01,unemployment,8
2015-03-01,usd_brl,3.208
2015-04-01,ibc_br,99.14035
2015-04-01,ipca_12m,8.17
2015-04-01,selic,12.68
2015-04-01,unemployment,8.1
2015-04-01,usd_brl,2.9936
2015-05-01,ibc_br,98.46872
2015-05-01,ipca_12m,8.47
2015-05-01,selic,13.15
2015-05-01,unemployment,8.2
2015-05-01,usd_brl,3.1788
2015-06-01,ibc_br,97.51131
2015-06-01,ipca_12m,8.89
2015-06-01,selic,13.58
2015-06-01,unemployment,8.4
2015-06-01,usd_brl,3.1026
2015-07-01,ibc_br,96.39184
2015-07-01,ipca_12m,9.56
2015-07-01,selic,13.69
2015-07-01,unemployment,8.6
2015-07-01,usd_brl,3.394
2015-08-01,ibc_br,96.87066
2015-08-01,ipca_12m,9.53
2015-08-01,selic,14.15
2015-08-01,unemployment,8.8
2015-08-01,usd_brl,3.6467
2015-09-01,ibc_br,96.16745
2015-09-01,ipca_12m,9.49
2015-09-01,selic,14.15
2015-09-01,unemployment,9
2015-09-01,usd_brl,3.9729
2015-10-01,ibc_br,96.5164
2015-10-01,ipca_12m,9.93
2015-10-01,selic,14.15
2015-10-01,unemployment,9.1
2015-10-01,usd_brl,3.8589
2015-11-01,ibc_br,95.54392
2015-11-01,ipca_12m,10.48
2015-11-01,selic,14.15
2015-11-01,unemployment,9.1
2015-11-01,usd_brl,3.8506
2015-12-01,ibc_br,95.25796
2015-12-01,ipca_12m,10.67
2015-12-01,selic,14.15
2015-12-01,unemployment,9.1
2015-12-01,usd_brl,3.9048
2016-01-01,ibc_br,94.89063
2016-01-01,ipca_12m,10.71
2016-01-01,selic,14.15
2016-01-01,unemployment,9.6
2016-01-01,usd_brl,4.0428
2016-02-01,ibc_br,94.75435
2016-02-01,ipca_12m,10.36
2016-02-01,selic,14.15
2016-02-01,unemployment,10.3
2016-02-01,usd_brl,3.9796
2016-03-01,ibc_br,94.08535
2016-03-01,ipca_12m,9.39
2016-03-01,selic,14.15
2016-03-01,unemployment,11
2016-03-01,usd_brl,3.5589
2016-04-01,ibc_br,94.01758
2016-04-01,ipca_12m,9.28
2016-04-01,selic,14.15
2016-04-01,unemployment,11.3
2016-04-01,usd_brl,3.4508
2016-05-01,ibc_br,93.80111
2016-05-01,ipca_12m,9.32
2016-05-01,selic,14.15
2016-05-01,unemployment,11.3
2016-05-01,usd_brl,3.5951
2016-06-01,ibc_br,93.97403
2016-06-01,ipca_12m,8.84
2016-06-01,selic,14.15
2016-06-01,unemployment,11.4
2016-06-01,usd_brl,3.2098
2016-07-01,ibc_br,93.66935
2016-07-01,ipca_12m,8.74
2016-07-01,selic,14.15
2016-07-01,unemployment,11.7
2016-07-01,usd_brl,3.239
2016-08-01,ibc_br,93.40742
2016-08-01,ipca_12m,8.97
2016-08-01,selic,14.15
2016-08-01,unemployment,11.9
2016-08-01,usd_brl,3.2403
2016-09-01,ibc_br,93.55861
2016-09-01,ipca_12m,8.48
2016-09-01,selic,14.15
2016-09-01,unemployment,11.9
2016-09-01,usd_brl,3.2462
2016-10-01,ibc_br,93.0696
2016-10-01,ipca_12m,7.87
2016-10-01,selic,14.05
2016-10-01,unemployment,11.9
2016-10-01,usd_brl,3.1811
2016-11-01,ibc_br,93.12837
2016-11-01,ipca_12m,6.99
2016-11-01,selic,13.9
2016-11-01,unemployment,12
2016-11-01,usd_brl,3.3967
2016-12-01,ibc_br,92.74387
2016-12-01,ipca_12m,6.29
2016-12-01,selic,13.65
2016-12-01,unemployment,12.1
2016-12-01,usd_brl,3.2591
2017-01-01,ibc_br,93.41681
2017-01-01,ipca_12m,5.35
2017-01-01,selic,13.17
2017-01-01,unemployment,12.7
2017-01-01,usd_brl,3.127
2017-02-01,ibc_br,94.52719
2017-02-01,ipca_12m,4.76
2017-02-01,selic,12.82
2017-02-01,unemployment,13.3
2017-02-01,usd_brl,3.0993
2017-03-01,ibc_br,94.61426
2017-03-01,ipca_12m,4.57
2017-03-01,selic,12.15
2017-03-01,unemployment,13.9
2017-03-01,usd_brl,3.1684
2017-04-01,ibc_br,94.50331
2017-04-01,ipca_12m,4.08
2017-04-01,selic,11.59
2017-04-01,unemployment,13.7
2017-04-01,usd_brl,3.1984
2017-05-01,ibc_br,94.27088
2017-05-01,ipca_12m,3.6
2017-05-01,selic,11.15
2017-05-01,unemployment,13.4
2017-05-01,usd_brl,3.2437
2017-06-01,ibc_br,94.86629
2017-06-01,ipca_12m,3
2017-06-01,selic,10.15
2017-06-01,unemployment,13.1
2017-06-01,usd_brl,3.3082
2017-07-01,ibc_br,94.93311
2017-07-01,ipca_12m,2.71
2017-07-01,selic,10.01
2017-07-01,unemployment,12.9
2017-07-01,usd_brl,3.1307
2017-08-01,ibc_br,94.65194
2017-08-01,ipca_12m,2.46
2017-08-01,selic,9.15
2017-08-01,unemployment,12.7
2017-08-01,usd_brl,3.1471
2017-09-01,ibc_br,94.64787
2017-09-01,ipca_12m,2.54
2017-09-01,selic,8.35
2017-09-01,unemployment,12.5
2017-09-01,usd_brl,3.168
2017-10-01,ibc_br,94.85294
2017-10-01,ipca_12m,2.7
2017-10-01,selic,8.01
2017-10-01,unemployment,12.3
2017-10-01,usd_brl,3.2769
2017-11-01,ibc_br,95.04069
2017-11-01,ipca_12m,2.8
2017-11-01,selic,7.4
2017-11-01,unemployment,12.1
2017-11-01,usd_brl,3.2616
2017-12-01,ibc_br,96.17371
2017-12-01,ipca_12m,2.95
2017-12-01,selic,7
2017-12-01,unemployment,11.9
2017-12-01,usd_brl,3.308
2018-01-01,ibc_br,95.81891
2018-01-01,ipca_12m,2.86
2018-01-01,selic,6.9
2018-01-01,unemployment,12.3
2018-01-01,usd_brl,3.1624
2018-02-01,ibc_br,95.4417
2018-02-01,ipca_12m,2.84
2018-02-01,selic,6.72
2018-02-01,unemployment,12.7
2018-02-01,usd_brl,3.2449
2018-03-01,ibc_br,95.47751
2018-03-01,ipca_12m,2.68
2018-03-01,selic,6.58
2018-03-01,unemployment,13.2
2018-03-01,usd_brl,3.3238
2018-04-01,ibc_br,96.01695
2018-04-01,ipca_12m,2.76
2018-04-01,selic,6.4
2018-04-01,unemployment,13
2018-04-01,usd_brl,3.4811
2018-05-01,ibc_br,93.08718
2018-05-01,ipca_12m,2.86
2018-05-01,selic,6.4
2018-05-01,unemployment,12.8
2018-05-01,usd_brl,3.737
2018-06-01,ibc_br,95.76516
2018-06-01,ipca_12m,4.39
2018-06-01,selic,6.4
2018-06-01,unemployment,12.6
2018-06-01,usd_brl,3.8558
2018-07-01,ibc_br,96.07646
2018-07-01,ipca_12m,4.48
2018-07-01,selic,6.4
2018-07-01,unemployment,12.4
2018-07-01,usd_brl,3.7549
2018-08-01,ibc_br,96.82265
2018-08-01,ipca_12m,4.19
2018-08-01,selic,6.4
2018-08-01,unemployment,12.2
2018-08-01,usd_brl,4.1353
2018-09-01,ibc_br,96.30686
2018-09-01,ipca_12m,4.53
2018-09-01,selic,6.4
2018-09-01,unemployment,12
2018-09-01,usd_brl,4.0039
2018-10-01,ibc_br,96.6211
2018-10-01,ipca_12m,4.56
2018-10-01,selic,6.4
2018-10-01,unemployment,11.8
2018-10-01,usd_brl,3.7177
2018-11-01,ibc_br,96.8912
2018-11-01,ipca_12m,4.05
2018-11-01,selic,6.4
2018-11-01,unemployment,11.7
2018-11-01,usd_brl,3.8633
2018-12-01,ibc_br,97.04678
2018-12-01,ipca_12m,3.75
2018-12-01,selic,6.4
2018-12-01,unemployment,11.7
2018-12-01,usd_brl,3.8748
2019-01-01,ibc_br,96.96012
2019-01-01,ipca_12m,3.78
2019-01-01,selic,6.4
2019-01-01,unemployment,12.2
2019-01-01,usd_brl,3.6519
2019-02-01,ibc_br,96.39445
2019-02-01,ipca_12m,3.89
2019-02-01,selic,6.4
2019-02-01,unemployment,12.5
2019-02-01,usd_brl,3.7385
2019-03-01,ibc_br,95.81353
2019-03-01,ipca_12m,4.58
2019-03-01,selic,6.4
2019-03-01,unemployment,12.8
2019-03-01,usd_brl,3.8967
2019-04-01,ibc_br,95.79119
2019-04-01,ipca_12m,4.94
2019-04-01,selic,6.4
2019-04-01,unemployment,12.6
2019-04-01,usd_brl,3.9453
2019-05-01,ibc_br,97.13779
2019-05-01,ipca_12m,4.66
2019-05-01,selic,6.4
2019-05-01,unemployment,12.4
2019-05-01,usd_brl,3.9407
2019-06-01,ibc_br,96.6054
2019-06-01,ipca_12m,3.37
2019-06-01,selic,6.4
2019-06-01,unemployment,12.1
2019-06-01,usd_brl,3.8322
2019-07-01,ibc_br,96.39421
2019-07-01,ipca_12m,3.22
2019-07-01,selic,6.4
2019-07-01,unemployment,11.9
2019-07-01,usd_brl,3.7649
2019-08-01,ibc_br,96.63408
2019-08-01,ipca_12m,3.43
2019-08-01,selic,5.9
2019-08-01,unemployment,11.9
2019-08-01,usd_brl,4.1385
2019-09-01,ibc_br,96.95389
2019-09-01,ipca_12m,2.89
2019-09-01,selic,5.71
2019-09-01,unemployment,11.9
2019-09-01,usd_brl,4.1644
2019-10-01,ibc_br,98.08898
2019-10-01,ipca_12m,2.54
2019-10-01,selic,5.38
2019-10-01,unemployment,11.7
2019-10-01,usd_brl,4.0041
2019-11-01,ibc_br,97.91087
2019-11-01,ipca_12m,3.27
2019-11-01,selic,4.9
2019-11-01,unemployment,11.3
2019-11-01,usd_brl,4.224
2019-12-01,ibc_br,97.49115
2019-12-01,ipca_12m,4.31
2019-12-01,selic,4.59
2019-12-01,unemployment,11.1
2019-12-01,usd_brl,4.0307
2020-01-01,ibc_br,97.59473
2020-01-01,ipca_12m,4.19
2020-01-01,selic,4.4
2020-01-01,unemployment,11.3
2020-01-01,usd_brl,4.2695
2020-02-01,ibc_br,97.75509
2020-02-01,ipca_12m,4.01
2020-02-01,selic,4.19
2020-02-01,unemployment,11.7
2020-02-01,usd_brl,4.4987
2020-03-01,ibc_br,91.27175
2020-03-01,ipca_12m,3.3
2020-03-01,selic,3.95
2020-03-01,unemployment,12.4
2020-03-01,usd_brl,5.1987
2020-04-01,ibc_br,83.02868
2020-04-01,ipca_12m,2.4
2020-04-01,selic,3.65
2020-04-01,unemployment,12.7
2020-04-01,usd_brl,5.427
2020-05-01,ibc_br,85.51362
2020-05-01,ipca_12m,1.88
2020-05-01,selic,3.01
2020-05-01,unemployment,13.1
2020-05-01,usd_brl,5.4263
2020-06-01,ibc_br,89.36512
2020-06-01,ipca_12m,2.13
2020-06-01,selic,2.58
2020-06-01,unemployment,13.6
2020-06-01,usd_brl,5.476
2020-07-01,ibc_br,91.73335
2020-07-01,ipca_12m,2.31
2020-07-01,selic,2.15
2020-07-01,unemployment,14.1
2020-07-01,usd_brl,5.2033
2020-08-01,ibc_br,93.50891
2020-08-01,ipca_12m,2.44
2020-08-01,selic,1.94
2020-08-01,unemployment,14.8
2020-08-01,usd_brl,5.4713
2020-09-01,ibc_br,95.36299
2020-09-01,ipca_12m,3.14
2020-09-01,selic,1.9
2020-09-01,unemployment,14.9
2020-09-01,usd_brl,5.6407
2020-10-01,ibc_br,97.31374
2020-10-01,ipca_12m,3.92
2020-10-01,selic,1.9
2020-10-01,unemployment,14.6
2020-10-01,usd_brl,5.7718
2020-11-01,ibc_br,97.49719
2020-11-01,ipca_12m,4.31
2020-11-01,selic,1.9
2020-11-01,unemployment,14.3
2020-11-01,usd_brl,5.3317
2020-12-01,ibc_br,97.62123
2020-12-01,ipca_12m,4.52
2020-12-01,selic,1.9
2020-12-01,unemployment,14.2
2020-12-01,usd_brl,5.1967
2021-01-01,ibc_br,97.78587
2021-01-01,ipca_12m,4.56
2021-01-01,selic,1.9
2021-01-01,unemployment,14.4
2021-01-01,usd_brl,5.4759
2021-02-01,ibc_br,98.72415
2021-02-01,ipca_12m,5.2
2021-02-01,selic,1.9
2021-02-01,unemployment,14.6
2021-02-01,usd_brl,5.5302
2021-03-01,ibc_br,95.31997
2021-03-01,ipca_12m,6.1
2021-03-01,selic,2.23
2021-03-01,unemployment,14.9
2021-03-01,usd_brl,5.6973
2021-04-01,ibc_br,96.44633
2021-04-01,ipca_12m,6.76
2021-04-01,selic,2.65
2021-04-01,unemployment,14.8
2021-04-01,usd_brl,5.4036
2021-05-01,ibc_br,97.04362
2021-05-01,ipca_12m,8.06
2021-05-01,selic,3.29
2021-05-01,unemployment,14.7
2021-05-01,usd_brl,5.2322
2021-06-01,ibc_br,96.74775
2021-06-01,ipca_12m,8.35
2021-06-01,selic,3.76
2021-06-01,unemployment,14.2
2021-06-01,usd_brl,5.0022
2021-07-01,ibc_br,96.41324
2021-07-01,ipca_12m,8.99
2021-07-01,selic,4.15
2021-07-01,unemployment,13.7
2021-07-01,usd_brl,5.1216
2021-08-01,ibc_br,97.01472
2021-08-01,ipca_12m,9.68
2021-08-01,selic,5.01
2021-08-01,unemployment,13.2
2021-08-01,usd_brl,5.1433
2021-09-01,ibc_br,96.97218
2021-09-01,ipca_12m,10.25
2021-09-01,selic,5.43
2021-09-01,unemployment,12.7
2021-09-01,usd_brl,5.4394
2021-10-01,ibc_br,97.48429
2021-10-01,ipca_12m,10.67
2021-10-01,selic,6.3
2021-10-01,unemployment,12.1
2021-10-01,usd_brl,5.643
2021-11-01,ibc_br,99.01672
2021-11-01,ipca_12m,10.74
2021-11-01,selic,7.65
2021-11-01,unemployment,11.6
2021-11-01,usd_brl,5.6199
2021-12-01,ibc_br,99.26961
2021-12-01,ipca_12m,10.06
2021-12-01,selic,8.76
2021-12-01,unemployment,11.1
2021-12-01,usd_brl,5.5805
2022-01-01,ibc_br,97.38057
2022-01-01,ipca_12m,10.38
2022-01-01,selic,9.15
2022-01-01,unemployment,11.2
2022-01-01,usd_brl,5.3574
2022-02-01,ibc_br,98.47223
2022-02-01,ipca_12m,10.54
2022-02-01,selic,10.49
2022-02-01,unemployment,11.2
2022-02-01,usd_brl,5.1394
2022-03-01,ibc_br,99.54249
2022-03-01,ipca_12m,11.3
2022-03-01,selic,11.15
2022-03-01,unemployment,11.1
2022-03-01,usd_brl,4.7378
2022-04-01,ibc_br,99.70731
2022-04-01,ipca_12m,12.13
2022-04-01,selic,11.65
2022-04-01,unemployment,10.5
2022-04-01,usd_brl,4.9191
2022-05-01,ibc_br,99.66125
2022-05-01,ipca_12m,11.73
2022-05-01,selic,12.51
2022-05-01,unemployment,9.8
2022-05-01,usd_brl,4.7289
2022-06-01,ibc_br,99.50902
2022-06-01,ipca_12m,11.89
2022-06-01,selic,12.89
2022-06-01,unemployment,9.3
2022-06-01,usd_brl,5.238
2022-07-01,ibc_br,101.40193
2022-07-01,ipca_12m,10.07
2022-07-01,selic,13.15
2022-07-01,unemployment,9.1
2022-07-01,usd_brl,5.1884
2022-08-01,ibc_br,101.08891
2022-08-01,ipca_12m,8.73
2022-08-01,selic,13.58
2022-08-01,unemployment,8.9
2022-08-01,usd_brl,5.179
2022-09-01,ibc_br,101.12862
2022-09-01,ipca_12m,7.17
2022-09-01,selic,13.65
2022-09-01,unemployment,8.7
2022-09-01,usd_brl,5.4066
2022-10-01,ibc_br,101.41491
2022-10-01,ipca_12m,6.47
2022-10-01,selic,13.65
2022-10-01,unemployment,8.3
2022-10-01,usd_brl,5.257
2022-11-01,ibc_br,100.65845
2022-11-01,ipca_12m,5.9
2022-11-01,selic,13.65
2022-11-01,unemployment,8.1
2022-11-01,usd_brl,5.2941
2022-12-01,ibc_br,100.40662
2022-12-01,ipca_12m,5.79
2022-12-01,selic,13.65
2022-12-01,unemployment,7.9
2022-12-01,usd_brl,5.2177
2023-01-01,ibc_br,100.0342
2023-01-01,ipca_12m,5.77
2023-01-01,selic,13.65
2023-01-01,unemployment,8.4
2023-01-01,usd_brl,5.0993
2023-02-01,ibc_br,103.13725
2023-02-01,ipca_12m,5.6
2023-02-01,selic,13.65
2023-02-01,unemployment,8.6
2023-02-01,usd_brl,5.2078
2023-03-01,ibc_br,103.07969
2023-03-01,ipca_12m,4.65
2023-03-01,selic,13.65
2023-03-01,unemployment,8.8
2023-03-01,usd_brl,5.0804
2023-04-01,ibc_br,104.39209
2023-04-01,ipca_12m,4.18
2023-04-01,selic,13.65
2023-04-01,unemployment,8.5
2023-04-01,usd_brl,5.0007
2023-05-01,ibc_br,102.4527
2023-05-01,ipca_12m,3.94
2023-05-01,selic,13.65
2023-05-01,unemployment,8.3
2023-05-01,usd_brl,5.0959
2023-06-01,ibc_br,102.38458
2023-06-01,ipca_12m,3.16
2023-06-01,selic,13.65
2023-06-01,unemployment,8
2023-06-01,usd_brl,4.8192
2023-07-01,ibc_br,102.85104
2023-07-01,ipca_12m,3.99
2023-07-01,selic,13.65
2023-07-01,unemployment,7.9
2023-07-01,usd_brl,4.7415
2023-08-01,ibc_br,102.46061
2023-08-01,ipca_12m,4.61
2023-08-01,selic,13.19
2023-08-01,unemployment,7.8
2023-08-01,usd_brl,4.9219
2023-09-01,ibc_br,102.45957
2023-09-01,ipca_12m,5.19
2023-09-01,selic,12.97
2023-09-01,unemployment,7.7
2023-09-01,usd_brl,5.0076
2023-10-01,ibc_br,102.76867
2023-10-01,ipca_12m,4.82
2023-10-01,selic,12.65
2023-10-01,unemployment,7.6
2023-10-01,usd_brl,5.0575
2023-11-01,ibc_br,103.50725
2023-11-01,ipca_12m,4.68
2023-11-01,selic,12.17
2023-11-01,unemployment,7.5
2023-11-01,usd_brl,4.9355
2023-12-01,ibc_br,104.60164
2023-12-01,ipca_12m,4.62
2023-12-01,selic,11.87
2023-12-01,unemployment,7.4
2023-12-01,usd_brl,4.8413
2024-01-01,ibc_br,104.36616
2024-01-01,ipca_12m,4.51
2024-01-01,selic,11.65
2024-01-01,unemployment,7.6
2024-01-01,usd_brl,4.9535
2024-02-01,ibc_br,104.77546
2024-02-01,ipca_12m,4.5
2024-02-01,selic,11.15
2024-02-01,unemployment,7.8
2024-02-01,usd_brl,4.9833
2024-03-01,ibc_br,104.67932
2024-03-01,ipca_12m,3.93
2024-03-01,selic,11
2024-03-01,unemployment,7.9
2024-03-01,usd_brl,4.9962
2024-04-01,ibc_br,105.29942
2024-04-01,ipca_12m,3.69
2024-04-01,selic,10.65
2024-04-01,unemployment,7.5
2024-04-01,usd_brl,5.1718
2024-05-01,ibc_br,105.65618
2024-05-01,ipca_12m,3.93
2024-05-01,selic,10.46
2024-05-01,unemployment,7.1
2024-05-01,usd_brl,5.2416
2024-06-01,ibc_br,106.56379
2024-06-01,ipca_12m,4.23
2024-06-01,selic,10.4
2024-06-01,unemployment,6.9
2024-06-01,usd_brl,5.5589
2024-07-01,ibc_br,106.93371
2024-07-01,ipca_12m,4.5
2024-07-01,selic,10.4
2024-07-01,unemployment,6.8
2024-07-01,usd_brl,5.6621
2024-08-01,ibc_br,107.10953
2024-08-01,ipca_12m,4.24
2024-08-01,selic,10.4
2024-08-01,unemployment,6.6
2024-08-01,usd_brl,5.6562
2024-09-01,ibc_br,107.95354
2024-09-01,ipca_12m,4.42
2024-09-01,selic,10.5
2024-09-01,unemployment,6.4
2024-09-01,usd_brl,5.4481
2024-10-01,ibc_br,108.14132
2024-10-01,ipca_12m,4.76
2024-10-01,selic,10.65
2024-10-01,unemployment,6.2
2024-10-01,usd_brl,5.7779
2024-11-01,ibc_br,107.8805
2024-11-01,ipca_12m,4.87
2024-11-01,selic,11.04
2024-11-01,unemployment,6.1
2024-11-01,usd_brl,6.0535
2024-12-01,ibc_br,107.03793
2024-12-01,ipca_12m,4.83
2024-12-01,selic,11.77
2024-12-01,unemployment,6.2
2024-12-01,usd_brl,6.1923
